epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1348.62,0.95795,0.72151,1.12511,0.74338,0.65468,0.71762,0.39558,1.45057,1.00761,1.50192,0.0004786,0.0004786,0.0004786
81,1365.2,0.93011,0.69692,1.11854,0.77375,0.64402,0.73975,0.39982,1.46824,1.05022,1.51761,0.000472,0.000472,0.000472
82,1382.46,0.95466,0.71803,1.13207,0.78157,0.64402,0.73671,0.40727,1.44827,0.9818,1.52491,0.0004654,0.0004654,0.0004654
83,1399.69,0.95304,0.72034,1.12621,0.77107,0.62188,0.73149,0.40075,1.507,0.99151,1.52305,0.0004588,0.0004588,0.0004588
84,1416.77,0.9661,0.72124,1.12456,0.69019,0.57917,0.63222,0.34142,1.63478,1.22219,1.64967,0.0004522,0.0004522,0.0004522
85,1434.43,0.94941,0.69762,1.12345,0.7571,0.59823,0.70066,0.39093,1.46224,1.03757,1.49885,0.0004456,0.0004456,0.0004456
86,1451.68,0.91746,0.67707,1.10592,0.74712,0.61968,0.69932,0.39371,1.51799,1.07175,1.54921,0.000439,0.000439,0.000439
87,1469.41,0.94187,0.7083,1.11837,0.71964,0.64455,0.71689,0.38861,1.56391,1.05853,1.58002,0.0004324,0.0004324,0.0004324
88,1486.25,0.92403,0.6995,1.12448,0.73179,0.66902,0.7499,0.43104,1.35956,0.97382,1.42625,0.0004258,0.0004258,0.0004258
89,1503.25,0.90054,0.67482,1.09663,0.7703,0.66174,0.75192,0.42611,1.38845,0.99712,1.4569,0.0004192,0.0004192,0.0004192
90,1520.87,0.90953,0.67272,1.09293,0.76815,0.63368,0.74036,0.42118,1.42596,1.03803,1.49943,0.0004126,0.0004126,0.0004126
91,1538.78,0.92032,0.67732,1.10104,0.74503,0.65175,0.74798,0.43242,1.30889,0.91914,1.44259,0.000406,0.000406,0.000406
92,1556.37,0.91863,0.66679,1.09913,0.80551,0.62629,0.73015,0.40099,1.49013,1.01918,1.51652,0.0003994,0.0003994,0.0003994
93,1573.55,0.89499,0.66203,1.09381,0.77802,0.60414,0.69974,0.39311,1.49712,1.0547,1.55779,0.0003928,0.0003928,0.0003928
94,1591.81,0.88329,0.66029,1.09454,0.73479,0.60857,0.69397,0.3882,1.48211,1.12617,1.55337,0.0003862,0.0003862,0.0003862
95,1609.79,0.93398,0.69105,1.10554,0.76249,0.61004,0.7121,0.39293,1.47603,1.01723,1.53765,0.0003796,0.0003796,0.0003796
96,1628.48,0.91064,0.66258,1.10678,0.78181,0.64041,0.74512,0.41241,1.47303,1.00313,1.50928,0.000373,0.000373,0.000373
97,1646.63,0.91191,0.65483,1.11093,0.79152,0.64993,0.75095,0.43121,1.36861,0.91966,1.45992,0.0003664,0.0003664,0.0003664
98,1665.06,0.89967,0.66179,1.10023,0.78068,0.64254,0.75293,0.43307,1.36172,0.92123,1.4627,0.0003598,0.0003598,0.0003598
